3/26/2019,@Evelf2,"Isn’t it interesting to note that - we all knows - Election Manifesto, Promises & वादे are hollow, routine &amp; will never gonna be fulfilled. But still we vote for them. #LokSabhaElection2019 #MyPreciousVote",4,28,,negative
3/26/2019,@TheShaileshOjha,There is no Modi Wave niw. Now it's Modi Tsunami Starts... 🌊🌊🌊 #LokSabhaElection2019 #BJP4India,4496,122,"Bihar, India",negative
3/26/2019,@praarabdha,"Every time I hear the news of @Tej_AnanthKumar missing the tickets, it hurts a lot. @BJP4India is becoming more a leader oriented party with no respect to local leaders, no values nothing. #Devastated #BangaloreSouth #LokSabhaElection2019",7,12,,negative
3/26/2019,@SatyaNextdoor,Country fighting Against or For the less educated!!! #LokSabhaElection2019 #Election2019,73,108,India,negative
3/26/2019,@MyGovArunachal,Would you be participating in voting this upcoming election? #LokSabhaElection2019 #righttovote #govote @ceoarunachal,450,80,"Itanagar, India",negative
3/26/2019,@PolticalH,I shall ask the respected @RaoKavitha who is asking for votes in nizamabad to minorities where were you while tirple talaq bill was passing in Loksabha. you were in the session and you didnt vote for minorities @GPNews6 #ElectionsWithTimes #ElectionsWithHT #LokSabhaElection2019,6,99,,negative
3/26/2019,@AUOYI,#AIMIM President & #Hyderabad MP Candidate Barrister Asaduddin #Owaisi Paidal Daura Today In Various Places Of #GoshaMahal Assembly Constituency. #LokSabhaElection2019,5072,6,"Hyderabad, India",negative
3/26/2019,@SocialBlooper,Film actress #JayaPrada Joins #BJP !!! #Election2019 #LokSabhaElection2019 #चुनाव2019 #NamoAgain2019 #SocialBlooper,19,266,अमरीका एवं भारत,negative
3/26/2019,@RamakanthPadide,Trending now in Indian politics #LokSabhaElection2019 Rahul Gandhi Ji during campaign #JanSankalpRally,109,4,"Hyderabad,Kushaiguda",negative
3/26/2019,@dineshmourya4,"PIL has been filed in Mumbai HC against the movie #PMNarendraModi. The petitioner alleged that the movie is propaganda to gain and influence votes as Modi himself is a candidate of #LokSabhaElection2019, demands to stay the release of the movie",1832,2035,mumbai,negative
3/26/2019,@NikhilSolanki04,I'll be voting for the 1st time bt i have 2 questions - 1) Why should i vote?? & 2) Why should i vote for you or your representative?? #2019Elections #LokSabhaElection2019 @narendramodi @RahulGandhi Lets see who can guide &amp; lead the youth better.,7,23,"Indore, india",positive
3/26/2019,@ImPrajyotMishra,"""Like #LKAdvani, I have been told not to contest."" Veteran #BJP leader #MurliManoharJoshi told his supporters that party leadership asked him not to contest #LokSabhaElection2019 “from Kanpur & elsewhere”. All Margdarshaks now reduced to Darshak! Can't go against Modi-Shah?",44522,7393,"Bengaluru, India",negative
3/26/2019,@Anandans76,"BDJS, constituent of Kerala NDA, announces candidates for Idukki (Biju Krishnan), Alathur (TV Babu) & Mavelikkara (Thazhava Sahadevan). President Thushar changes stance and says he'll contest, but it is unclear whether it is from Thrissur or Wayanad #LokSabhaElection2019",1293,612,"Kochi, Kerala",negative
3/26/2019,@shriwastav_s,Former CM of Maharashtra Shri. @prithvrj to contest from Pune against @GirishBapatBJP ? Looks like @RahulGandhi @INCIndia @INCMaharashtra playing on the front foot. #LokSabhaElection2019,60,205,"नई दिल्ली, भारत",negative
3/26/2019,@udhan_khatola,"Sharma ji ka beta while processing for social security Abroad,Thank God government helping us. RAHUL HOW COME YOU WASTING HARD EARN MONEY ON SOCIAL SECURITY. #MinimumIncomeGuarantee #LokSabhaElection2019",94,209,India,negative
3/26/2019,@rd_ostwal,Both #Sumalatha Ambareesh and #Nikhil Kumaraswamy are fighting elections on emotion and family name. Neither of them have done anything to deserve this seat. In the end loser is #Mandhya public. #LokSabhaElection2019,193,504,,negative
3/26/2019,@damagedcongresi,Thrilled to know @kanhaiyakumar is going to contest #LokSabhaElection2019 finally @loksabhatv would have some great content to show.,204,340,"Pune, India",positive
