"{'युवाओं', 'BJP', 'BattleOf2019', 'secret', 'CourtCase', '69000_शिक्षक_भर्ती', 'शिक्षामित्रों', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', '68500_शिक्षक_भर्ती', 'ये_कैसा_रोजगार'}",
"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}",
"{'AIADMKAlliance', 'AMMK', 'Elections2019', 'DMDK', 'DMKAlliance', 'BJP', 'ELECTIONBREAKING', 'INC', 'MakkalNeedhiMaiam', 'AAP', 'TamilNadu', 'TNelections2019'}",
"{'RajivGandhi', 'BJP', 'IndiraGandhi', 'ManoharParrikar', 'RIPParrikar', 'RIP', 'ModiGovt'}",
"{'dirtypolitics', 'MainBhiChowkidar', 'BJP', 'eletion', 'MainBhiBerozgar', 'jagoIndiajago'}",
"{'ChowkidarChorHai', 'BJP', 'NarendraModi', 'KiaHuwaTeriWada'}",
"{'bjp', 'ChowkidarPhirSe', 'Congress'}",
"{'PavanSawant', 'Goa', 'BIGNEWS:', 'BJP'}",
"{'bjp', 'prideofindianarendramodi', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'BJP4India'}",
"{'Panaji', 'Goa', 'BJP'}",
"{'BJP', 'LokSabhaElections2019'}",
"{'BJP', 'TimesNow', 'ChowkidarChorHai'}",
"{'BJP', 'Goa'}",
"{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}",
"{'BJP', 'TimesNow', 'ChowkidarChorHai'}",
"{'BJYM', 'National_Spokesperson', 'with', 'BJP', 'india', 'BJPVijaySankalpBikeRally', 'bhajpa', 'BJP4India', 'YuvaWantsModi', 'AbkiBaarPhirModiSarkar', 'NamoAgain', 'KahoDilSeModiPhirSe'}",
{'BJP'},
{'BJP'},
"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'NarendraModi', 'election'}",
"{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}",
"{'Congress', 'Mindtree', 'Varanasi', 'Kashmiri', 'BJP', 'SubrotoBagchi', 'Mayawati', 'Modi'}",
"{'dmkcandidates', 'hraja', 'MKStalin', 'BJP', 'thamilnews', 'DMK', 'thamizhazhithangapandiyan'}",
"{'PhirEkBaarModiSarkar', 'PadmaAwards', 'Abhinandan', 'MainBhiChowkidar', 'BJPVijaySankalpBikeRally', 'PMNarendraModi', 'WhyModiAgain', 'bjp', 'IndiaUnited', 'PresidentKovind'}",
"{'MeinBhiChowkidar', 'SanchiBaat'}",
"{'BJP', 'NewOdisha'}",
"{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}",
"{'NarendraModi', 'election'}",
"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}",
"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'BJP', 'TimesNow', 'ChowkidarChorHai'}",
"{'Chowkidar', 'BJP', 'CheatIndia', 'petrol', 'Jumla', 'ElectionCommission'}",
{'BJp'},
"{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}",
"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'BJP', 'LokSabhaElections2019'}",
"{'ये_पब्लिक_है_ये_सब_जानती_है', 'युवाओं', 'BJP', 'secret', 'शिक्षामित्रों', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', 'CourtCase', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_कैसा_रोजगार', 'BattleOf2019'}",
"{'JarpumGamlin', 'BJP', 'ArunachalPradesh'}",
"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'BJP', 'TamilNadu', 'AMMK', 'DMKAlliance', 'INC', 'ELECTIONBREAKING', 'AAP', 'TNelections2019', 'DMDK', 'Elections2019'}",
"{'IndiraGandhi', 'BJP', 'RIPParrikar', 'ManoharParrikar', 'ModiGovt', 'RIP', 'RajivGandhi'}",
"{'jagoIndiajago', 'MainBhiBerozgar', 'eletion', 'MainBhiChowkidar', 'BJP', 'dirtypolitics'}",
"{'NarendraModi', 'BJP', 'ChowkidarChorHai', 'KiaHuwaTeriWada'}",
"{'Congress', 'ChowkidarPhirSe', 'bjp'}",
"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",
"{'BJP', 'LokSabhaElections2019'}",
"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",
"{'Goa', 'BJP'}",
"{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}",
"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",
"{'with', 'AbkiBaarPhirModiSarkar', 'KahoDilSeModiPhirSe', 'National_Spokesperson', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'YuvaWantsModi', 'BJP', 'bhajpa', 'BJP4India', 'BJYM', 'india'}",
{'BJP'},
{'BJP'},
"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'election', 'NarendraModi'}",
"{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}",
"{'Congress', 'Mayawati', 'Modi', 'Varanasi', 'Mindtree', 'BJP', 'Kashmiri', 'SubrotoBagchi'}",
"{'hraja', 'thamizhazhithangapandiyan', 'MKStalin', 'DMK', 'BJP', 'dmkcandidates', 'thamilnews'}",
"{'MainBhiChowkidar', 'PadmaAwards', 'PhirEkBaarModiSarkar', 'BJPVijaySankalpBikeRally', 'WhyModiAgain', 'Abhinandan', 'PresidentKovind', 'bjp', 'PMNarendraModi', 'IndiaUnited'}",
"{'MeinBhiChowkidar', 'SanchiBaat'}",
"{'NewOdisha', 'BJP'}",
"{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}",
"{'election', 'NarendraModi'}",
"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}",
"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",
"{'CheatIndia', 'Jumla', 'ElectionCommission', 'Chowkidar', 'petrol', 'BJP'}",
{'BJp'},
"{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}",
"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}",
"{'BJP', 'LokSabhaElections2019'}",
"{'शिक्षामित्रों', 'CourtCase', 'युवाओं', 'BattleOf2019', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', 'ये_ज्ञान_अनमोल_है', 'ये_कैसा_रोजगार', 'BJP', 'secret'}",
"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}",
"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'DMDK', 'AAP', 'ELECTIONBREAKING', 'INC', 'TNelections2019', 'DMKAlliance', 'AMMK', 'BJP', 'TamilNadu', 'Elections2019'}",
"{'RIP', 'IndiraGandhi', 'ManoharParrikar', 'RajivGandhi', 'RIPParrikar', 'BJP', 'ModiGovt'}",
"{'MainBhiChowkidar', 'MainBhiBerozgar', 'dirtypolitics', 'jagoIndiajago', 'BJP', 'eletion'}",
"{'ChowkidarChorHai', 'NarendraModi', 'KiaHuwaTeriWada', 'BJP'}",
"{'Congress', 'ChowkidarPhirSe', 'bjp'}",
